"Year","Type","HHI","HTI","EI","EXP","R1","R2","R3","CCI1","CCI2","CCI3","N_Firms","Top1_Company","Top2_Companies","Top3_Companies"
2020,"production",0.0752884566741176,0.0532871791522435,3.14860426234157,0.0429119789534416,0.188753248026671,0.293952542040496,0.391712016473011,0.265083479439267,0.349313219699703,0.428893143421659,68,"ENDEG","ENDEG, GNCOG","ENDEG, GNCOG, OTROS"
2020,"purchase",0.0982099521650567,0.0501132455777053,3.12756132081672,0.0438245410388729,0.273722192006155,0.341350171789395,0.405356645397503,0.319197139832443,0.377987331834028,0.434062371670388,64,"IBGCO","IBGCO, EEXUR","IBGCO, EEXUR, OTROS"
2021,"production",0.0706113093108222,0.0501079035550357,3.20603863043751,0.0405167977970691,0.176634197293949,0.278524060533923,0.370697403259893,0.252593559158327,0.334778108058102,0.410742698382386,71,"ENDEG","ENDEG, OTROS","ENDEG, OTROS, GNCOG"
2021,"purchase",0.0908215781339116,0.0465240823543412,3.19853602609949,0.0408219224836186,0.258072094176607,0.328313017149122,0.389574795750568,0.305335450994352,0.3660553532177,0.420041036577418,70,"IBGCO","IBGCO, OTROS","IBGCO, OTROS, EEXUR"
2022,"production",0.0737684360875683,0.058000912925295,3.09762303897463,0.0451564099554929,0.174520832840971,0.284947888355824,0.378323446694869,0.257795318593136,0.345180667305919,0.421932376871195,60,"IBGEG","IBGEG, GNCOG","IBGEG, GNCOG, OTROS"
2022,"purchase",0.105471221348157,0.0518100312432533,3.07946662579196,0.0459837766697536,0.287378462667401,0.34815368084493,0.403608774274707,0.332101772108365,0.385714216992417,0.435189314887868,65,"IBGCO","IBGCO, OTROS","IBGCO, OTROS, ED1CO"
2023,"production",0.0682160422475316,0.0566960634147039,3.14011155616895,0.0432779697081627,0.168762838300479,0.27311494708518,0.354186937667423,0.245483639447249,0.329193350967768,0.397652865486463,56,"ENDEG","ENDEG, OTROS","ENDEG, OTROS, GNCOG"
2023,"purchase",0.110763737020221,0.0517723205580216,3.06413015477169,0.0466944411411833,0.299499980314186,0.354121553341995,0.406105227239918,0.340745160795839,0.389562665693769,0.436282210492076,64,"IBGCO","IBGCO, EEXUR","IBGCO, EEXUR, OTROS"
2024,"production",0.0669813178917577,0.0537771463960466,3.18530631919647,0.0413655727910573,0.176846124285661,0.272136756374816,0.34865933630019,0.246032198977725,0.324027489900439,0.38928675302107,56,"ENDEG","ENDEG, OTROS","ENDEG, OTROS, GNCOG"
2024,"purchase",0.0988067318992372,0.0470234212902627,3.16936586116072,0.0420302424635479,0.280061019382627,0.337298738590914,0.386396267049533,0.32001417574693,0.370887101680722,0.415281848434501,68,"ENDEN","ENDEN, OTROS","ENDEN, OTROS, EEXUR"
